,clickability_test_id,headline,response_synthetic,persona
0,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Laura Pacheco
1,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,David Taylor
2,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Rosa Maria Peralta
3,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Sofia Lopez 
4,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,David Fisher
5,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Alejandro Diaz
6,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Carlos Torres
7,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Darnell Hayes
8,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",1,Juana Romero
9,548f97533834330024170000,"She Was Forced To Reveal Her HIV Status At Work, And It Pretty Much Changed Everything",0,Darius Brown
10,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Carlos Ortiz
11,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Lucia Garcia 
12,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Laura Wilson
13,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",1,Brandon Harrison
14,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Samuel Foster
15,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Ayanna Reed
16,54b906516631650016030000,"It Should Be Common Sense, But This 3-Year-Old Has To Set Some Of You Straight",0,Manuel Castro
